Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
9/30/12,-5.9,-2.5,-4.2,-4.5,6.1,92.3,nan,2.9,206
10/1/12,-6.2,-3.4,-4.8,-5.1,6.1,76.8,nan,2.1,259
10/2/12,-6.5,-0.2,-3.3,-4.5,6,58.2,nan,1.3,40
10/3/12,-5.5,-0.9,-3.2,-4,6.1,82,nan,2.7,nan
10/4/12,-0.9,3.8,1.5,1.5,6.2,99.7,nan,2.6,257
10/5/12,3.7,7.4,5.6,5.3,6.1,96.7,nan,2.3,nan
10/6/12,4.1,9.4,6.8,5.8,6.1,72.4,nan,1.7,264
10/7/12,4.6,7.2,5.9,5.7,6.1,69.5,nan,1.8,nan
10/8/12,5,10.3,7.6,7.4,6.1,61.2,nan,1.1,271
10/9/12,1.2,7.5,4.3,5.4,6.1,57.9,nan,3.4,99
10/10/12,-2,1.1,-0.4,-1,6.1,83.8,nan,7.5,nan
10/11/12,-7,-1.3,-4.1,-4.9,6.1,84.1,nan,8.3,nan
10/12/12,-4.9,-0.7,-2.8,-2.7,6.1,92,nan,3.9,nan
10/13/12,-2.5,-0.1,-1.3,-1.7,6.2,98.4,nan,4.8,189
10/14/12,-2.4,-1.1,-1.8,-1.7,6.1,88.2,nan,7.6,nan
10/15/12,-3.7,-1.4,-2.6,-2.7,6.1,93.9,nan,6.3,nan
10/16/12,-6.1,-2.6,-4.4,-4.8,6.1,97.4,nan,3,228
10/17/12,-9,-5.9,-7.4,-7.5,6.1,94.4,nan,5.2,nan
10/18/12,-9.8,-7.4,-8.6,-8.4,6.1,92.1,nan,3.3,nan
10/19/12,-10.3,-8.7,-9.5,-9.3,6.1,78.1,nan,8.8,51
10/20/12,-12.6,-10.4,-11.5,-11.3,6,81.2,nan,17.1,nan
10/21/12,-14.5,-12,-13.3,-13.4,5.9,80.7,nan,23,nan
10/22/12,-12.6,-11.4,-12,-12,6,79.3,nan,19.3,nan
10/23/12,-11.9,-10.6,-11.3,-11.3,6,79.4,nan,20.6,nan
10/24/12,-13.4,-11,-12.2,-12.8,6,80.7,nan,22.9,nan
10/25/12,-14.2,-12.6,-13.4,-13.4,5.9,74.8,nan,15.6,nan
10/26/12,-13.2,-9.3,-11.3,-11.6,5.9,51.1,nan,5.9,nan
10/27/12,-15.4,-12.3,-13.9,-13.4,5.9,56.3,nan,8.3,nan
10/28/12,-16.6,-13.6,-15.1,-15.2,5.9,63.8,nan,7.8,25
10/29/12,-17,-10.4,-13.7,-13.8,5.9,45.7,nan,8,nan
10/30/12,-12.1,-8.1,-10.1,-10.3,5.9,83.5,nan,3.7,nan
10/31/12,-9.1,-6.9,-8,-7.9,6,85.5,nan,7.2,nan
11/1/12,-8.4,-3.3,-5.9,-6.4,6,74.9,nan,5.3,94
11/2/12,-5,-1.3,-3.1,-2.6,6.1,73.4,nan,8.1,nan
11/3/12,-5.8,-4.5,-5.1,-5.1,6.1,90.3,nan,7.8,nan
11/4/12,-4.9,-1.7,-3.3,-3.9,6.1,88.5,nan,10.3,95
11/5/12,-6.8,-1.9,-4.3,-4.9,6.1,96.6,nan,4.2,204
11/6/12,-6.7,-5.1,-5.9,-5.8,6.1,91.4,nan,7.1,nan
11/7/12,-11.2,-6,-8.6,-8.3,6,77.3,nan,5.8,nan
11/8/12,-9.6,-3.2,-6.4,-7.1,6,60.2,nan,1.6,nan
11/9/12,-8.7,-5.6,-7.1,-7.3,6,36.4,nan,4.8,nan
11/10/12,-10.1,-7,-8.5,-8.7,6,83.1,nan,3.9,134
11/11/12,-7.5,-5,-6.2,-6.1,6,91.9,nan,2.6,nan
11/12/12,-5.9,-3.8,-4.8,-4.8,6.1,96.2,nan,1.7,94
11/13/12,-6.8,-5.4,-6.1,-6,6.1,97.1,nan,1.9,nan
11/14/12,-7.4,-5.2,-6.3,-6.1,6.1,96.7,nan,4.4,226
11/15/12,-7.4,-6.6,-7,-7,6.1,96,nan,2.9,185
11/16/12,-8.8,-7.1,-7.9,-7.9,6.1,87.8,nan,11.3,nan
11/17/12,-15.9,-7.9,-11.9,-11.2,6,83.3,nan,12.3,nan
11/18/12,-17.8,-8.6,-13.2,-12.9,6,83.3,nan,9,nan
11/19/12,-15.2,-10.8,-13,-13,6,80.1,nan,15.2,nan
11/20/12,-12.9,-9.9,-11.4,-11.7,6,79.3,nan,9.7,nan
11/21/12,-12.3,-9.4,-10.8,-10.8,6,80.1,nan,7.4,nan
11/22/12,-12.5,-6.8,-9.6,-9.7,6,83.6,nan,11.1,74
11/23/12,-8.5,-6.6,-7.5,-7.4,6,80.5,nan,8.3,nan
11/24/12,-9.1,-6.2,-7.7,-8,6,87.5,nan,5.3,nan
11/25/12,-9.3,-7.4,-8.4,-8.4,6.1,95.3,nan,0.5,272
11/26/12,-9.2,-6.5,-7.9,-8,6.1,95.5,nan,nan,nan
11/27/12,-9.2,-4.5,-6.9,-5.8,6,37,nan,6.1,nan
11/28/12,-17,-6.8,-11.9,-11.8,6,40.9,nan,16.8,nan
11/29/12,-18.1,-14.9,-16.5,-16.4,5.9,74,nan,21.9,nan
11/30/12,-19.9,-18.2,-19,-18.9,5.9,79.4,nan,21.4,nan
12/1/12,-22,-19.4,-20.7,-20.7,5.9,80.7,nan,16.8,nan
12/2/12,-21.2,-12.2,-16.7,-16.2,5.9,86.1,nan,8.2,nan
12/3/12,-12.6,-9.8,-11.2,-10.6,6,83.8,nan,8.3,nan
12/4/12,-13.4,-11.3,-12.4,-12.1,6,82,nan,7.6,nan
12/5/12,-11.3,-9.9,-10.6,-10.4,6,87.1,nan,5.4,136
12/6/12,-14,-10.8,-12.4,-12.3,6,81.2,nan,6.3,122
12/7/12,-14.2,-11.2,-12.7,-12.6,6,82.4,nan,4.4,76
12/8/12,-14.7,-10.3,-12.5,-13.2,6,90.2,nan,3.7,91
12/9/12,-9.9,-6.9,-8.4,-7.7,6,93.9,nan,5.1,nan
12/10/12,-7.8,-6.5,-7.1,-7.2,6,96.2,nan,2.8,nan
12/11/12,-10.3,-7.2,-8.8,-8.8,6,75.6,nan,7.6,nan
12/12/12,-10.4,-6.7,-8.6,-8.6,6,88.3,nan,2.6,240
12/13/12,-9.2,-6.7,-8,-8.1,6,95.6,nan,3.8,nan
12/14/12,-9.5,-7,-8.2,-8.4,6,95.4,nan,6,nan
